Variable Position	Variable Name	Code	Label
26	occ10	5840	Insurance claims and policy processing clerks
26	occ10	5830	Desktop publishers
26	occ10	5820	Word processors and typists
26	occ10	5810	Data entry keyers
26	occ10	5800	Computer operators
26	occ10	5700	Secretaries and administrative assistants
26	occ10	5630	Weighers  measurers  checkers  and samplers  recordkeeping
26	occ10	5620	Stock clerks and order fillers
26	occ10	5610	Shipping  receiving  and traffic clerks
26	occ10	5600	Production  planning  and expediting clerks
26	occ10	5560	Postal service mail sorters  processors  and processing  machine operators
26	occ10	5550	Postal service mail carriers
26	occ10	5540	Postal service clerks
26	occ10	5530	Meter readers  utilities
26	occ10	5520	Dispatchers
26	occ10	5510	Couriers and messengers
26	occ10	5500	Cargo and freight agents
26	occ10	5420	Information and record clerks  all other
26	occ10	5410	Reservation and transportation ticket agents and travel clerks
26	occ10	5400	Receptionists and information clerks
26	occ10	5360	Human resources assistants  except payroll and timekeeping
26	occ10	5350	Order clerks
26	occ10	5340	New accounts clerks
26	occ10	5330	Loan interviewers and clerks
